epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,5986.11,1.72311,0.86185,0.83409,0.82784,0.69582,0.76975,0.33367,1.85651,0.89151,0.89612,0.0005051,0.0005051,0.0005051
153,6025.5,1.73422,0.85327,0.84716,0.84659,0.68544,0.76483,0.32549,1.88388,0.87642,0.8997,0.0004952,0.0004952,0.0004952
154,6064.87,1.69452,0.84096,0.83549,0.83141,0.68755,0.759,0.32454,1.88769,0.9052,0.90719,0.0004853,0.0004853,0.0004853
155,6104.35,1.68182,0.83626,0.83606,0.80511,0.72254,0.76514,0.32495,1.87292,0.87304,0.90174,0.0004754,0.0004754,0.0004754
156,6143.66,1.72212,0.85005,0.83665,0.81946,0.69708,0.7618,0.32257,1.9253,0.89919,0.90791,0.0004655,0.0004655,0.0004655
157,6183.03,1.71066,0.83461,0.83857,0.83002,0.69318,0.75884,0.32509,1.9148,0.88526,0.90623,0.0004556,0.0004556,0.0004556
158,6222.17,1.71193,0.86716,0.83495,0.82228,0.69784,0.75412,0.32437,1.88453,0.86338,0.90224,0.0004457,0.0004457,0.0004457
159,6261.52,1.68809,0.84892,0.83682,0.80333,0.70469,0.7488,0.31827,1.881,0.86788,0.90502,0.0004358,0.0004358,0.0004358
160,6301.12,1.69223,0.84652,0.83187,0.81235,0.7161,0.77086,0.32141,1.87241,0.87717,0.90229,0.0004259,0.0004259,0.0004259
161,6340.54,1.69611,0.85819,0.83326,0.81249,0.69198,0.75921,0.32025,1.90669,0.86977,0.90396,0.000416,0.000416,0.000416
162,6379.84,1.68763,0.84047,0.84111,0.80838,0.69962,0.76069,0.31926,1.89396,0.87513,0.9047,0.0004061,0.0004061,0.0004061
163,6419.31,1.73639,0.86568,0.83338,0.84053,0.67427,0.75035,0.32416,1.86946,0.88802,0.90139,0.0003962,0.0003962,0.0003962
164,6458.65,1.70629,0.84636,0.83354,0.7953,0.69708,0.75261,0.31903,1.89587,0.85358,0.90818,0.0003863,0.0003863,0.0003863
165,6497.97,1.71003,0.85644,0.83191,0.85902,0.68441,0.76456,0.32269,1.88628,0.85805,0.90716,0.0003764,0.0003764,0.0003764
166,6537.31,1.68959,0.82432,0.84014,0.8408,0.70215,0.77122,0.32836,1.88564,0.86287,0.90698,0.0003665,0.0003665,0.0003665
167,6576.6,1.67157,0.82959,0.83505,0.83541,0.69708,0.75226,0.32374,1.88986,0.858,0.91141,0.0003566,0.0003566,0.0003566
168,6616.03,1.68538,0.8471,0.83941,0.84373,0.673,0.7649,0.32806,1.89496,0.86899,0.90562,0.0003467,0.0003467,0.0003467
169,6655.32,1.67662,0.83991,0.84026,0.84403,0.70646,0.77823,0.33188,1.87935,0.85235,0.9076,0.0003368,0.0003368,0.0003368
